epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1507.68,1.55053,2.51458,1.7376,0.56114,0.47719,0.47654,0.22235,1.72602,2.48269,2.06726,0.000415162,0.000415162,0.000415162
2,3639.43,1.51101,2.00585,1.68724,0.578,0.56747,0.55011,0.27859,1.68452,2.28634,1.85457,0.000815359,0.000815359,0.000815359
3,5199.33,1.49702,1.89375,1.66717,0.57312,0.56957,0.55312,0.27763,1.7111,1.98055,1.90617,0.00119906,0.00119906,0.00119906
4,9342.3,1.46289,1.77932,1.639,0.63819,0.60068,0.61099,0.30268,1.69718,1.9193,1.88352,0.00117575,0.00117575,0.00117575
5,12608.6,1.426,1.66094,1.60331,0.69381,0.7016,0.69813,0.40128,1.52395,1.51572,1.75735,0.001151,0.001151,0.001151
6,15443.7,1.38783,1.56655,1.5739,0.69084,0.65719,0.69816,0.39621,1.57997,1.65973,1.76006,0.00112625,0.00112625,0.00112625
7,16887.5,1.36682,1.49378,1.55473,0.7113,0.69477,0.72638,0.41589,1.52272,1.33216,1.69308,0.0011015,0.0011015,0.0011015
8,18329.9,1.33326,1.43722,1.5332,0.77455,0.7303,0.7688,0.44524,1.48169,1.30431,1.66039,0.00107675,0.00107675,0.00107675
9,19780.5,1.30569,1.37912,1.51157,0.75969,0.77223,0.78623,0.46085,1.481,1.18881,1.63964,0.001052,0.001052,0.001052
10,21224.9,1.29054,1.34829,1.50006,0.75831,0.72933,0.77612,0.46331,1.4275,1.19176,1.60978,0.00102725,0.00102725,0.00102725
11,22722.1,1.27117,1.29885,1.48201,0.77241,0.74031,0.77687,0.4611,1.48367,1.22815,1.6601,0.0010025,0.0010025,0.0010025
12,24761,1.25409,1.25374,1.46398,0.75983,0.79596,0.804,0.47853,1.42939,1.11711,1.60316,0.00097775,0.00097775,0.00097775
13,26379,1.23355,1.22043,1.44422,0.76461,0.78187,0.79451,0.47342,1.43534,1.1258,1.59316,0.000953,0.000953,0.000953
14,27893.4,1.21256,1.19123,1.42638,0.74766,0.76777,0.78167,0.46328,1.44664,1.16393,1.61793,0.00092825,0.00092825,0.00092825
15,29346.2,1.2028,1.15803,1.41925,0.75413,0.78194,0.80697,0.48704,1.43047,1.07985,1.59267,0.0009035,0.0009035,0.0009035
16,30794,1.18357,1.13157,1.41401,0.76682,0.79619,0.80422,0.48095,1.44636,1.07915,1.60787,0.00087875,0.00087875,0.00087875
17,32263.1,1.17789,1.11592,1.40278,0.79071,0.78729,0.81143,0.49045,1.43584,1.04577,1.60147,0.000854,0.000854,0.000854
18,33709.2,1.16048,1.07362,1.38519,0.78733,0.7904,0.82901,0.50141,1.44863,1.0003,1.61631,0.00082925,0.00082925,0.00082925
19,35165.2,1.14547,1.05981,1.37447,0.79834,0.80698,0.83035,0.5075,1.4122,1.01544,1.59418,0.0008045,0.0008045,0.0008045
20,36610.6,1.13851,1.05584,1.37121,0.83982,0.78504,0.84046,0.51082,1.42707,0.96874,1.59009,0.00077975,0.00077975,0.00077975
21,77475,1.12082,1.02959,1.36076,0.79559,0.81365,0.8333,0.51446,1.39258,0.97644,1.57447,0.000755,0.000755,0.000755
22,80054.7,1.11195,1.00234,1.35178,0.81642,0.79666,0.83331,0.50834,1.42739,0.97135,1.60767,0.00073025,0.00073025,0.00073025
23,83848.7,1.1024,0.98881,1.35044,0.82906,0.8102,0.84855,0.52453,1.40334,0.93654,1.57533,0.0007055,0.0007055,0.0007055
24,85452.2,1.10049,0.97055,1.34489,0.81388,0.7935,0.836,0.51434,1.42119,0.97313,1.58787,0.00068075,0.00068075,0.00068075
25,87014,1.08608,0.96276,1.33178,0.78814,0.83864,0.84006,0.52056,1.40056,0.94265,1.56186,0.000656,0.000656,0.000656
26,88523.9,1.07188,0.94301,1.31554,0.80735,0.84011,0.8539,0.52373,1.40749,0.90903,1.57723,0.00063125,0.00063125,0.00063125
27,89998.9,1.05514,0.91533,1.30654,0.78956,0.82528,0.84091,0.52528,1.39431,0.91634,1.56687,0.0006065,0.0006065,0.0006065
28,91449.7,1.0509,0.90412,1.30508,0.82104,0.79453,0.84331,0.5143,1.4345,0.92794,1.6007,0.00058175,0.00058175,0.00058175
29,92895.9,1.04038,0.89353,1.297,0.80606,0.80492,0.83624,0.51647,1.41835,0.92927,1.59151,0.000557,0.000557,0.000557
30,94353.5,1.01804,0.87398,1.28042,0.81891,0.82635,0.8574,0.53075,1.39547,0.88221,1.57201,0.00053225,0.00053225,0.00053225
31,97238.4,1.02088,0.88112,1.28823,0.84433,0.79983,0.84724,0.52646,1.41245,0.89542,1.592,0.0005075,0.0005075,0.0005075
32,100265,1.01238,0.85511,1.27928,0.82939,0.81081,0.84396,0.52393,1.43707,0.92734,1.6069,0.00048275,0.00048275,0.00048275
33,101825,0.99905,0.83519,1.27104,0.79938,0.84964,0.84455,0.53001,1.41511,0.87026,1.60386,0.000458,0.000458,0.000458
34,103280,0.99597,0.83036,1.26532,0.827,0.821,0.84907,0.5307,1.40605,0.88646,1.57342,0.00043325,0.00043325,0.00043325
35,104739,0.98233,0.81433,1.25701,0.81424,0.83794,0.85315,0.53468,1.41268,0.87336,1.59996,0.0004085,0.0004085,0.0004085
36,106195,0.97427,0.79647,1.24941,0.81715,0.85495,0.85218,0.53427,1.41936,0.87049,1.60391,0.00038375,0.00038375,0.00038375
37,108919,0.96048,0.79406,1.2441,0.82617,0.82396,0.8523,0.53179,1.41167,0.87715,1.60619,0.000359,0.000359,0.000359
38,110561,0.95328,0.78091,1.23764,0.82982,0.82062,0.84711,0.52868,1.4181,0.88966,1.60931,0.00033425,0.00033425,0.00033425
39,112257,0.95014,0.77311,1.2332,0.82314,0.84048,0.84938,0.52617,1.42881,0.86663,1.60171,0.0003095,0.0003095,0.0003095
40,113768,0.93877,0.75554,1.22678,0.82134,0.82291,0.84329,0.53119,1.41279,0.88091,1.6011,0.00028475,0.00028475,0.00028475
41,115361,0.8931,0.60077,1.22412,0.82239,0.81188,0.84143,0.52589,1.42119,0.86759,1.60547,0.00026,0.00026,0.00026
42,116791,0.86003,0.55689,1.19789,0.82088,0.81569,0.8412,0.5291,1.41089,0.8695,1.60175,0.00023525,0.00023525,0.00023525
43,118288,0.84002,0.53479,1.18399,0.82819,0.82252,0.83945,0.52915,1.41606,0.87502,1.61768,0.0002105,0.0002105,0.0002105
44,119993,0.82476,0.52623,1.17141,0.80748,0.84205,0.83735,0.52972,1.42296,0.87415,1.62595,0.00018575,0.00018575,0.00018575
45,122972,0.81645,0.51603,1.16272,0.83153,0.824,0.84432,0.53507,1.41589,0.85924,1.62647,0.000161,0.000161,0.000161
46,124419,0.80034,0.50197,1.15266,0.82114,0.82486,0.84454,0.53107,1.43283,0.86283,1.64334,0.00013625,0.00013625,0.00013625
47,125848,0.78599,0.48537,1.13966,0.8068,0.84575,0.84702,0.5375,1.41795,0.87212,1.63762,0.0001115,0.0001115,0.0001115
48,127326,0.77581,0.4817,1.14001,0.8072,0.83795,0.8399,0.53309,1.42942,0.88041,1.64897,8.675e-05,8.675e-05,8.675e-05
49,128759,0.77222,0.47752,1.13332,0.80056,0.85078,0.84261,0.53286,1.43468,0.87522,1.65752,6.2e-05,6.2e-05,6.2e-05
50,130186,0.7604,0.47005,1.12233,0.81521,0.83822,0.84659,0.53708,1.43218,0.87638,1.65976,3.725e-05,3.725e-05,3.725e-05
